doc_id1,doc_id2
48,7283
50,5493
60,3572
134,1582
177,1691
179,319
180,3239
186,5596
218,3722
286,2030
305,2673
317,6757
320,3465
329,6284
353,8724
354,5894
402,485
440,1259
464,4563
503,8915
506,8728
531,9454
605,7956
641,2430
671,7167
684,4005
692,3668
704,3075
705,7154
729,2844
738,3232
743,7215
746,4099
747,2728
767,8400
828,6176
833,7071
922,3536
979,4576
1030,2435
1040,2663
1076,7083
1125,1686
1187,3831
1215,2784
1227,6412
1231,7695
1258,2192
1281,5353
1295,9521
1300,7623
1359,4638
1365,1857
1411,8713
1431,1800
1436,3712
1474,6700
1476,6449
1509,3910
1544,7730
1617,1794
1651,5903
1765,2556
1772,3839
1787,4410
1893,7432
1928,8662
1941,7761
1955,4660
1994,9265
2024,7030
2042,7773
2062,5649
2071,4656
2122,2681
2129,2540
2200,9066
2214,2814
2243,5613
2246,8907
2273,8141
2277,9128
2285,4392
2288,9955
2307,6743
2310,6476
2318,4617
2326,4659
2367,4243
2427,6665
2447,3362
2493,8338
2502,8343
2504,2595
2528,3183
2539,4909
2564,9595
2569,8490
2690,7602
2737,2952
2792,5972
2806,4879
2901,6573
2976,4063
3011,6798
3012,8608
3025,3906
3027,9668
3195,8997
3198,9473
3246,4501
3332,5756
3446,4183
3539,6624
3582,9783
3602,9885
3646,6309
3655,7634
3692,5774
3713,6949
3751,3941
3759,4824
3783,4635
3797,6740
3845,6459
3871,5911
3882,9982
3930,5185
3940,6834
3977,4269
4071,9796
4103,6939
4172,9770
4182,9284
4214,9769
4261,4534
4298,6620
4304,4366
4338,9709
4345,6171
4405,7586
4566,8919
4589,9506
4590,8735
4827,7082
4895,7068
5037,9678
5054,9989
5081,8927
5206,9665
5207,5214
5213,6664
5256,8577
5283,8485
5297,6392
5364,9289
5369,8848
5418,6075
5478,7284
5511,6461
5528,6423
5762,9146
5975,6766
5979,9150
6083,6936
6103,6180
6104,6871
6228,7545
6229,6613
6254,8468
6381,7440
6603,7196
6722,6769
6818,7100
6823,8193
6980,9809
7136,9452
7206,8187
7253,8945
7268,8154
7415,9998
7550,8659
7587,9153
7769,9469
7808,8700
7821,8900
8020,9882
8107,9101
8118,8937
8569,9412
8708,9305
9213,9266
9334,9813
